Station N.,Date,Time,Magnet ID,B (mT),Zero (mT),Numero de Caja,B Absoluto (mT),Medicion Numero
1,2025-01-09,13:12:01,428,9.52,6.16,B5,,
1,2025-01-09,13:12:27,429,9.5,6.16,B5,,
1,2025-01-09,13:12:45,430,9.46,6.16,B5,,
1,2025-01-09,13:13:47,431,9.6,6.16,B6,,
1,2025-01-09,13:13:59,432,9.52,6.16,B6,,
1,2025-01-09,13:14:18,433,9.48,6.16,B6,,
1,2025-01-09,13:14:40,434,9.48,6.16,B6,,
1,2025-01-09,13:14:57,435,9.52,6.16,B6,,
1,2025-01-09,13:15:25,436,9.44,6.16,B6,,
1,2025-01-09,13:15:43,437,9.52,6.16,B6,,
1,2025-01-09,13:15:59,438,9.44,6.16,B6,,
1,2025-01-09,13:16:22,439,9.56,6.16,B6,,
1,2025-01-09,13:16:35,440,9.54,6.16,B6,,
1,2025-01-09,13:17:25,441,9.58,6.16,B6,,
1,2025-01-09,13:17:39,442,9.56,6.16,B6,,
1,2025-01-09,13:18:03,443,9.62,6.16,B6,,
1,2025-01-09,13:18:19,444,9.44,6.16,B6,,
1,2025-01-09,13:18:38,445,9.54,6.16,B6,,
1,2025-01-09,13:18:55,446,9.5,6.16,B6,,
1,2025-01-09,13:19:29,447,9.54,6.16,B6,,
1,2025-01-09,13:19:48,448,9.44,6.16,B6,,
1,2025-01-09,13:20:10,449,9.62,6.16,B6,,
1,2025-01-09,13:20:24,450,9.5,6.16,B6,,
1,2025-01-15,12:23:03,451,9.5,6.08,A1,,
1,2025-01-15,12:23:47,452,9.64,6.08,A1,,
1,2025-01-15,12:24:15,453,9.56,6.08,A1,,
1,2025-01-15,12:24:51,454,9.54,6.08,A1,,
1,2025-01-15,12:25:18,455,9.52,6.08,A1,,
1,2025-01-15,12:25:43,456,9.52,6.08,A1,,
1,2025-01-15,12:26:15,457,9.48,6.08,A1,,
1,2025-01-15,12:26:54,458,9.66,6.08,A1,,
1,2025-01-15,12:27:27,459,9.52,6.08,A1,,
1,2025-01-15,12:27:51,460,9.64,6.08,A1,,
1,2025-01-15,12:29:27,461,9.48,6.08,A1,,
1,2025-01-15,12:29:55,462,9.56,6.08,A1,,
1,2025-01-15,12:30:24,463,9.46,6.08,A1,,
1,2025-01-15,12:31:00,464,9.52,6.08,A1,,
1,2025-01-15,12:33:22,465,9.52,6.08,A1,,
1,2025-01-15,12:33:48,466,9.48,6.08,A1,,
1,2025-01-15,12:34:07,467,9.6,6.08,A1,,
1,2025-01-15,12:34:30,468,9.58,6.08,A1,,
1,2025-01-15,12:34:49,469,9.6,6.08,A1,,
1,2025-01-15,12:35:06,470,9.48,6.08,A1,,
1,2025-01-15,12:36:02,471,9.48,6.08,A1,,
1,2025-01-15,12:36:38,472,9.44,6.08,A1,,
1,2025-01-15,12:37:03,473,9.5,6.08,A1,,
1,2025-01-15,12:37:37,474,9.6,6.08,A1,,
1,2025-01-15,12:38:05,475,9.54,6.08,A1,,
1,2025-01-15,12:39:08,476,9.58,6.08,A1,,
1,2025-01-15,12:39:32,477,9.46,6.08,A1,,
1,2025-01-15,12:40:03,478,9.6,6.08,A1,,
1,2025-01-15,12:40:59,479,9.46,6.08,A1,,
1,2025-01-15,12:41:27,480,9.5,6.08,A1,,
1,2025-01-15,12:42:36,481,9.48,6.08,A2,,
1,2025-01-15,12:42:56,482,9.54,6.08,A2,,
1,2025-01-15,12:43:26,483,9.6,6.08,A2,,
1,2025-01-15,12:43:57,484,9.56,6.08,A2,,
1,2025-01-15,12:44:21,485,9.56,6.08,A2,,
1,2025-01-15,12:44:50,486,9.5,6.08,A2,,
1,2025-01-15,12:45:22,487,9.56,6.08,A2,,
1,2025-01-15,12:45:48,488,9.4,6.08,A2,,
1,2025-01-15,12:46:13,489,9.5,6.08,A2,,
1,2025-01-15,12:46:31,490,9.48,6.08,A2,,
1,2025-01-15,12:47:29,491,9.52,6.08,A2,,
1,2025-01-15,12:47:45,492,9.66,6.08,A2,,
1,2025-01-15,12:48:14,493,9.46,6.08,A2,,
1,2025-01-15,12:48:43,494,9.64,6.08,A2,,
1,2025-01-15,12:49:11,495,9.58,6.08,A2,,
1,2025-01-15,12:49:34,496,9.54,6.08,A2,,
1,2025-01-15,12:50:01,497,9.52,6.08,A2,,
1,2025-01-15,12:50:29,498,9.58,6.08,A2,,
1,2025-01-15,12:50:57,499,9.54,6.08,A2,,
1,2025-01-15,12:51:16,500,9.54,6.08,A2,,
1,2025-01-15,12:52:20,501,9.4,6.08,A2,,
1,2025-01-15,12:52:34,502,9.44,6.08,A2,,
1,2025-01-15,12:53:09,503,9.52,6.08,A2,,
1,2025-01-15,12:53:30,504,9.48,6.08,A2,,
1,2025-01-15,12:53:53,505,9.6,6.08,A2,,
1,2025-01-15,12:54:18,506,9.46,6.08,A2,,
1,2025-01-15,12:54:40,507,9.5,6.08,A2,,
1,2025-01-15,12:55:03,508,9.34,6.08,A2,,
1,2025-01-15,12:55:32,509,9.56,6.08,A2,,
1,2025-01-15,12:55:56,510,9.46,6.08,A2,,
1,2025-01-15,12:57:16,511,9.5,6.08,A3,,
1,2025-01-15,12:57:35,512,9.46,6.08,A3,,
1,2025-01-15,12:58:03,513,9.58,6.08,A3,,
1,2025-01-15,12:59:01,514,9.54,6.08,A3,,
1,2025-01-15,12:59:32,515,9.4,6.08,A3,,
1,2025-01-15,12:59:56,516,9.44,6.08,A3,,
1,2025-01-15,13:00:29,517,9.5,6.08,A3,,
1,2025-01-15,13:00:50,518,9.5,6.08,A3,,
1,2025-01-15,13:01:12,519,9.48,6.08,A3,,
1,2025-01-15,13:01:33,520,9.62,6.08,A3,,
1,2025-01-15,13:03:08,521,9.48,6.08,A3,,
1,2025-01-15,13:03:21,522,9.46,6.08,A3,,
1,2025-01-15,14:14:32,523,9.48,6.08,A3,,
1,2025-01-15,14:14:48,524,9.5,6.08,A3,,
1,2025-01-15,14:15:08,525,9.58,6.08,A3,,
1,2025-01-15,14:15:28,526,9.56,6.08,A3,,
1,2025-01-15,14:15:55,527,9.54,6.08,A3,,
1,2025-01-15,14:16:21,528,9.5,6.08,A3,,
1,2025-01-15,14:16:47,529,9.5,6.08,A3,,
1,2025-01-15,14:17:13,530,9.54,6.08,A3,,
1,2025-01-15,14:18:02,531,9.66,6.08,A3,,
1,2025-01-15,14:18:16,532,9.58,6.08,A3,,
1,2025-01-15,14:18:52,533,9.54,6.08,A3,,
1,2025-01-15,14:19:17,534,9.52,6.08,A3,,
1,2025-01-15,14:19:43,535,9.6,6.08,A3,,
1,2025-01-15,14:20:07,536,9.58,6.08,A3,,
1,2025-01-15,14:20:28,537,9.46,6.08,A3,,
1,2025-01-15,14:21:17,538,9.68,6.08,A3,,
1,2025-01-15,14:21:46,539,9.44,6.08,A3,,
1,2025-01-15,14:22:05,540,9.56,6.08,A3,,
1,2025-01-15,14:31:29,541,9.56,6.08,A4,,
1,2025-01-15,14:31:45,542,9.46,6.08,A4,,
1,2025-01-15,14:32:11,543,9.46,6.08,A4,,
1,2025-01-15,14:32:29,544,9.54,6.08,A4,,
1,2025-01-15,14:32:45,545,9.56,6.08,A4,,
1,2025-01-15,14:33:02,546,9.48,6.08,A4,,
1,2025-01-15,14:33:23,547,9.5,6.08,A4,,
1,2025-01-15,14:33:42,548,9.48,6.08,A4,,
1,2025-01-15,14:34:00,549,9.54,6.08,A4,,
1,2025-01-15,14:34:14,550,9.48,6.08,A4,,
